flow_id,source_ip,destination_ip,source_port,destination_port,protocol,tls_version,ja3_fingerprint,flow_duration_ms,packet_count,avg_packet_size,packet_size_std,inter_arrival_time_ms,burstiness_score,bytes_sent,bytes_received,upload_download_ratio,dns_over_https,vpn_usage,tor_usage,failed_connection_attempts,packet_entropy,session_start_hour,weekend_access,label
87,10.100.26.83,181.80.100.100,62697,9050,TLS,TLS1.2,ja3_13,1199.79,854,1036.37,155.5,6.06,0.923,556982,1124453,0.495,1,1,1,6,7.342,15,0,Suspicious
88,192.168.85.206,169.216.121.138,10967,853,VPN,TLS1.3,ja3_3,623.0,363,1040.39,162.27,10.02,0.515,259686,316366,0.821,1,0,1,5,6.604,7,0,Restricted
89,172.31.58.228,46.207.255.186,40759,80,VPN,TLS1.2,ja3_17,439.43,438,805.06,115.66,22.53,0.749,178037,379437,0.469,1,1,1,7,7.074,12,1,Restricted
90,192.168.151.151,139.139.244.51,57395,80,DoH,TLS1.3,ja3_19,518.52,695,1099.2,107.72,6.02,0.715,528095,761188,0.694,1,1,1,14,8.294,19,0,Suspicious
91,172.26.25.135,196.217.15.251,63125,853,Tor,TLS1.2,ja3_9,768.29,504,837.3,99.19,19.25,0.771,191895,574001,0.334,1,0,1,7,6.775,21,0,Restricted
92,192.168.78.255,217.147.71.166,37199,443,HTTPS,TLS1.2,ja3_14,344.78,157,444.45,157.83,23.64,0.385,45697,96606,0.473,0,0,0,2,4.26,14,1,Allowed
93,10.82.166.47,222.110.20.84,19905,1194,Tor,TLS1.3,ja3_3,365.48,53,571.36,124.68,29.41,0.277,13572,35879,0.378,0,0,0,1,4.261,21,0,Allowed
94,10.69.220.22,96.125.116.250,28885,443,VPN,TLS1.2,ja3_5,816.22,889,1071.08,151.03,7.54,0.959,626370,1066583,0.587,1,1,0,8,7.62,8,0,Suspicious
95,172.19.210.163,185.125.42.4,52969,1194,VPN,TLS1.3,ja3_15,400.46,147,622.18,88.69,12.93,0.382,57526,113702,0.506,0,0,0,2,4.175,3,1,Allowed
96,192.168.244.223,180.144.112.38,62803,1194,VPN,TLS1.3,ja3_15,488.06,510,1104.24,140.49,13.94,0.715,329324,784075,0.42,1,1,1,7,7.685,2,0,Restricted
97,192.168.143.48,37.15.239.247,40588,1194,TLS,TLS1.2,ja3_8,778.01,758,1196.14,66.76,7.48,0.848,552169,1075146,0.514,1,1,1,12,7.522,21,0,Suspicious
98,172.20.227.24,157.152.154.13,38788,443,HTTPS,TLS1.3,ja3_17,551.94,743,1098.67,77.74,7.6,0.913,367156,1114374,0.329,1,1,1,6,7.574,20,1,Suspicious
99,172.16.207.205,126.142.38.118,39384,9050,Tor,TLS1.3,ja3_3,1315.75,552,1002.72,96.76,10.41,0.872,385978,360875,1.07,1,1,0,12,7.825,15,1,Suspicious
100,10.82.143.8,56.205.21.50,44941,443,HTTPS,TLS1.3,ja3_14,248.98,208,641.05,101.42,23.01,0.349,63279,163162,0.388,1,0,0,1,3.948,22,1,Allowed
101,192.168.212.77,199.25.168.225,54341,80,TLS,TLS1.3,ja3_3,313.57,42,510.32,119.89,23.99,0.27,15567,16708,0.932,1,0,0,1,3.613,10,1,Allowed
102,172.27.22.200,130.177.143.205,57706,80,TLS,TLS1.3,ja3_14,120.35,162,566.23,89.26,15.91,0.424,41444,120257,0.345,1,0,0,1,5.098,1,0,Allowed
103,10.34.42.24,137.184.9.224,42010,9050,TLS,TLS1.2,ja3_9,484.48,588,954.35,94.42,16.33,0.615,235413,575793,0.409,1,1,1,6,7.042,17,0,Restricted
104,10.64.200.86,57.221.72.167,58751,9050,TLS,TLS1.2,ja3_20,604.91,661,1236.12,136.19,8.11,0.999,497195,1057731,0.47,1,1,1,12,8.21,7,0,Suspicious
105,192.168.225.95,211.152.42.139,37216,9050,TLS,TLS1.2,ja3_4,385.33,230,498.97,160.93,22.16,0.263,77992,86230,0.904,0,0,0,0,3.725,14,0,Allowed
106,172.18.144.160,152.20.149.137,33685,1194,VPN,TLS1.3,ja3_14,700.19,211,1004.02,134.01,11.62,0.723,85280,175755,0.485,1,0,1,4,6.939,15,1,Restricted
107,10.147.177.222,51.81.59.0,26162,853,VPN,TLS1.2,ja3_3,275.38,197,565.29,127.67,25.28,0.191,45365,105325,0.431,0,0,0,0,4.573,8,1,Allowed
108,10.240.117.114,206.40.227.195,54799,443,QUIC,TLS1.3,ja3_19,314.04,107,521.91,134.3,31.64,0.345,29060,65144,0.446,1,0,0,1,3.848,18,1,Allowed
109,172.25.84.3,73.37.140.99,36320,9050,QUIC,TLS1.3,ja3_18,966.08,406,1119.95,101.6,5.9,0.946,193815,571650,0.339,1,1,1,6,7.038,17,1,Suspicious
110,192.168.178.86,207.34.173.158,58014,853,Tor,TLS1.2,ja3_19,403.89,114,640.93,123.77,22.26,0.291,35678,48654,0.733,1,0,0,0,3.588,12,0,Allowed
111,10.211.57.118,167.99.155.145,3884,1194,Tor,TLS1.3,ja3_13,567.58,969,1268.28,100.17,11.93,0.832,931109,963461,0.966,1,1,1,9,7.227,12,0,Suspicious
112,10.133.124.245,116.136.71.203,9297,80,VPN,TLS1.3,ja3_4,287.31,89,449.88,78.47,33.66,0.293,28203,44082,0.64,0,0,0,1,4.759,14,0,Allowed
113,10.98.250.12,48.95.219.65,2029,853,DoH,TLS1.2,ja3_3,478.86,208,919.65,141.22,14.84,0.691,91858,190001,0.483,1,1,1,3,7.576,15,1,Restricted
114,192.168.210.136,130.174.218.98,43611,443,QUIC,TLS1.3,ja3_11,457.03,121,560.25,106.52,20.91,0.367,40130,73214,0.548,1,0,0,2,3.874,20,1,Allowed
115,192.168.111.31,203.148.158.73,41489,443,HTTPS,TLS1.3,ja3_8,1069.17,952,1253.53,149.61,4.72,0.88,592882,1657969,0.358,1,1,0,12,8.039,23,0,Suspicious
116,10.176.134.131,221.116.67.27,50855,443,DoH,TLS1.2,ja3_10,305.0,244,549.71,92.68,18.05,0.42,58078,168951,0.344,0,0,0,1,4.639,0,0,Allowed
117,10.120.169.157,195.148.178.91,20250,1194,QUIC,TLS1.3,ja3_5,411.95,173,439.17,152.36,18.36,0.374,48466,83063,0.583,0,0,0,1,4.476,7,1,Allowed
118,192.168.203.67,188.36.198.186,12164,853,TLS,TLS1.3,ja3_20,903.89,407,746.63,112.82,15.44,0.827,188110,381011,0.494,1,0,1,5,7.224,21,0,Restricted
119,172.27.178.187,111.78.204.33,16240,9050,Tor,TLS1.3,ja3_15,352.02,51,716.02,174.86,20.86,0.439,16937,47378,0.357,0,0,0,2,4.299,8,0,Allowed
120,10.141.199.209,210.242.62.31,60085,1194,Tor,TLS1.2,ja3_3,663.98,711,945.26,161.95,6.41,0.899,530889,752907,0.705,1,1,1,7,8.365,14,1,Suspicious
121,10.98.242.225,201.86.152.70,42897,9050,Tor,TLS1.3,ja3_15,1067.92,803,1192.03,150.56,4.93,0.829,623620,1137419,0.548,1,1,1,9,6.966,9,0,Suspicious
122,192.168.134.148,98.20.49.34,8013,853,DoH,TLS1.3,ja3_19,1203.11,911,1104.29,103.94,12.74,0.926,646335,1084656,0.596,1,1,1,13,9.273,9,1,Suspicious
123,172.18.138.146,207.86.253.36,19012,443,VPN,TLS1.2,ja3_20,410.14,138,597.98,147.2,31.8,0.198,58623,76270,0.769,1,0,0,1,3.426,23,1,Allowed
124,192.168.112.191,159.42.101.107,51862,853,VPN,TLS1.3,ja3_8,895.4,717,1348.99,161.05,11.83,0.868,424571,893734,0.475,1,1,1,9,6.638,20,0,Suspicious
125,10.189.185.195,215.45.195.202,42196,443,Tor,TLS1.2,ja3_10,694.91,265,1054.23,116.96,19.22,0.631,207626,169640,1.224,1,0,1,3,7.11,14,0,Restricted
126,172.18.129.145,153.135.99.250,6930,1194,QUIC,TLS1.3,ja3_6,631.95,279,1071.68,154.84,18.15,0.559,181763,260009,0.699,1,0,1,5,6.779,6,0,Restricted
127,172.20.85.44,205.228.77.203,35813,80,QUIC,TLS1.2,ja3_9,560.96,483,874.07,74.34,16.93,0.765,175064,502021,0.349,1,1,1,3,6.443,15,1,Restricted
128,172.26.196.246,187.31.33.39,53730,443,DoH,TLS1.2,ja3_5,670.87,450,867.84,158.13,20.31,0.738,173693,318591,0.545,1,1,1,6,7.172,7,1,Restricted
129,192.168.103.69,85.103.102.63,6942,9050,TLS,TLS1.3,ja3_18,1208.84,675,1107.26,147.02,5.94,0.84,593922,1025502,0.579,1,1,1,9,7.283,3,1,Suspicious
130,10.29.152.162,135.151.54.22,39333,9050,Tor,TLS1.3,ja3_4,334.23,190,623.31,46.92,27.08,0.38,48791,100230,0.487,1,0,0,1,2.752,21,0,Allowed
131,192.168.26.213,195.97.62.73,61006,80,HTTPS,TLS1.2,ja3_15,284.75,73,474.92,127.61,28.87,0.322,23043,47944,0.481,1,0,0,1,3.875,22,1,Allowed
132,192.168.114.203,221.107.183.130,10184,443,TLS,TLS1.3,ja3_16,782.66,346,889.72,161.55,11.89,0.767,238992,388333,0.615,1,0,1,3,6.793,3,0,Restricted
133,10.22.209.23,120.50.54.84,26494,9050,QUIC,TLS1.3,ja3_19,364.2,128,617.13,106.06,35.89,0.221,59110,96838,0.61,0,0,0,1,3.98,23,0,Allowed
134,192.168.19.83,99.17.131.136,55660,9050,VPN,TLS1.3,ja3_9,1088.45,993,1342.06,139.95,9.36,0.83,1001037,1137769,0.88,1,1,0,8,8.282,1,1,Suspicious
135,172.26.173.168,90.210.31.44,63319,853,QUIC,TLS1.2,ja3_12,212.3,238,524.44,69.6,30.69,0.378,78056,112875,0.692,1,0,0,0,3.533,17,1,Allowed
136,10.33.90.57,220.237.54.167,13463,443,DoH,TLS1.2,ja3_7,313.58,149,726.98,95.5,31.67,0.128,71169,130792,0.544,1,0,0,1,5.084,20,0,Allowed
137,172.19.23.157,149.181.226.240,16986,853,VPN,TLS1.2,ja3_3,381.8,85,801.36,43.5,25.2,0.17,46812,92937,0.504,1,0,0,2,4.285,17,0,Allowed
138,192.168.228.240,49.134.201.26,22556,853,VPN,TLS1.2,ja3_9,696.85,572,874.73,81.15,13.57,0.681,257152,423208,0.608,1,0,1,4,7.221,4,0,Restricted
139,192.168.72.202,214.205.39.147,8228,443,HTTPS,TLS1.2,ja3_12,687.94,289,917.99,117.68,17.57,0.792,119054,197626,0.602,1,0,1,4,6.372,7,1,Restricted
140,10.5.32.104,84.115.19.190,4458,853,Tor,TLS1.3,ja3_17,172.56,75,472.46,135.42,28.31,0.448,20191,23728,0.851,1,0,0,0,4.311,3,0,Allowed
141,172.18.186.207,104.251.101.139,34659,80,TLS,TLS1.3,ja3_17,396.49,176,513.07,133.44,31.91,0.22,64790,100891,0.642,1,0,0,0,4.234,7,0,Allowed
142,10.116.112.53,190.231.44.93,31042,443,TLS,TLS1.3,ja3_13,739.66,249,853.71,95.47,7.67,0.718,147266,272292,0.541,1,1,1,3,7.106,13,0,Restricted
143,192.168.230.205,190.23.236.158,5840,443,QUIC,TLS1.2,ja3_3,204.99,147,632.31,130.84,28.42,0.255,69258,71886,0.963,1,0,0,2,4.416,4,1,Allowed
144,192.168.227.155,105.113.81.248,25986,80,VPN,TLS1.3,ja3_15,639.41,457,1022.46,210.29,18.49,0.546,238218,503540,0.473,1,1,1,7,7.107,16,1,Restricted
