user,pc,Rapid_file_access,Out_of_Working_Hours
717,5969,0,BENIGN
4545,4046,0,BENIGN
4977,1043,0,BENIGN
4584,1508,0,BENIGN
1824,7107,0,BENIGN
2082,4439,0,BENIGN
3420,4928,0,BENIGN
1575,6411,0,BENIGN
250,1916,0,BENIGN
674,1798,0,BENIGN
4534,5971,0,BENIGN
2166,2760,0,BENIGN
771,4275,0,BENIGN
3963,1818,0,BENIGN
4364,6040,0,BENIGN
1985,4065,0,BENIGN
1078,4259,0,BENIGN
236,1906,0,BENIGN
389,1602,0,ANOMALY
3038,5295,0,BENIGN
4859,4527,0,BENIGN
1849,5543,0,BENIGN
4720,2811,0,BENIGN
2815,8963,0,BENIGN
3375,6249,0,BENIGN
3279,5615,0,BENIGN
1253,9916,1,ANOMALY
3982,7766,0,BENIGN
4674,1802,1,BENIGN
2123,3582,0,BENIGN
4531,7445,0,ANOMALY
2151,4837,0,BENIGN
4860,9718,0,ANOMALY
1330,2665,0,BENIGN
1359,9651,0,ANOMALY
2483,7975,1,BENIGN
4543,3552,0,BENIGN
2018,8475,0,BENIGN
1332,3808,0,BENIGN
4345,6633,1,BENIGN
4262,7096,0,ANOMALY
1359,9823,0,ANOMALY
4638,3456,0,BENIGN
4855,6423,0,BENIGN
3178,5317,0,BENIGN
2129,2556,0,BENIGN
2181,3205,0,BENIGN
4893,4955,0,BENIGN
138,7805,0,BENIGN
3473,1404,0,BENIGN
2833,2620,0,BENIGN
3580,3952,0,BENIGN
3032,9080,0,BENIGN
4165,4118,0,BENIGN
2594,8380,0,BENIGN
4301,7630,1,ANOMALY
3819,1565,1,BENIGN
4139,5799,0,ANOMALY
3824,8670,0,BENIGN
4043,3868,0,BENIGN
1907,9776,0,BENIGN
761,5327,0,ANOMALY
3446,7413,0,ANOMALY
900,8614,0,BENIGN
4456,2245,0,BENIGN
2948,9243,0,BENIGN
1720,1537,0,BENIGN
281,1540,0,BENIGN
3267,1814,0,BENIGN
1888,2415,0,BENIGN
3267,2652,0,BENIGN
667,5062,0,BENIGN
4189,3356,0,BENIGN
672,4810,0,BENIGN
1970,1185,0,ANOMALY
4157,2551,0,BENIGN
3123,8013,0,BENIGN
4700,1761,0,BENIGN
4778,7163,0,BENIGN
3901,8635,0,BENIGN
524,4281,0,ANOMALY
2394,2536,0,BENIGN
3118,7201,0,BENIGN
2594,4164,0,BENIGN
1969,3770,0,BENIGN
1754,8399,0,BENIGN
2297,4845,0,BENIGN
2262,4435,0,BENIGN
2287,5710,0,BENIGN
4203,1561,0,BENIGN
2879,5717,0,BENIGN
4144,8623,0,BENIGN
3645,8187,0,BENIGN
4433,3180,0,BENIGN
2056,2960,0,BENIGN
4721,4879,0,BENIGN
1277,6153,0,BENIGN
2767,8035,0,BENIGN
303,4270,0,BENIGN
639,5687,0,BENIGN
56,1582,0,ANOMALY
4822,1288,0,BENIGN
526,6664,0,BENIGN
4570,8979,0,BENIGN
4124,4859,0,ANOMALY
2126,4060,0,BENIGN
3288,2183,0,BENIGN
365,5335,0,BENIGN
4622,2446,0,BENIGN
4979,7679,0,BENIGN
1647,7213,0,BENIGN
919,2903,0,ANOMALY
2798,8894,0,BENIGN
1532,3377,0,BENIGN
3346,1847,0,BENIGN
1907,8370,0,BENIGN
3087,7341,0,BENIGN
4581,2239,0,BENIGN
2076,6600,0,BENIGN
714,5791,0,BENIGN
1063,3365,0,BENIGN
1977,6055,0,ANOMALY
1297,6622,1,ANOMALY
126,1372,0,BENIGN
4633,8783,0,BENIGN
3597,2949,0,BENIGN
3284,1244,0,BENIGN
1604,8795,0,BENIGN
67,6772,0,BENIGN
233,1124,0,BENIGN
2157,2919,0,BENIGN
1170,1530,0,BENIGN
2159,8849,0,BENIGN
4207,7929,0,BENIGN
1494,5349,0,BENIGN
4719,5756,0,BENIGN
4008,2801,0,BENIGN
2473,6156,0,BENIGN
2661,8856,0,BENIGN
2740,6461,0,BENIGN
1762,6302,0,ANOMALY
3515,8432,0,BENIGN
1976,7189,0,BENIGN
2363,2142,1,BENIGN
877,8076,0,BENIGN
3813,8614,0,BENIGN
3449,5840,0,BENIGN
1313,2629,0,BENIGN
1461,6062,0,BENIGN
2710,1762,0,BENIGN
2325,7905,0,BENIGN
1734,5889,0,BENIGN
1606,5839,0,BENIGN
2564,4957,0,ANOMALY
3422,1557,0,BENIGN
3518,5621,0,BENIGN
2398,1839,0,BENIGN
3736,9194,0,BENIGN
2871,9348,0,BENIGN
1161,7998,0,BENIGN
4855,1510,0,BENIGN
243,2137,0,BENIGN
2591,6606,0,BENIGN
1064,5666,0,BENIGN
4325,9906,0,BENIGN
2596,6434,0,BENIGN
920,7446,0,BENIGN
6,3654,0,BENIGN
468,1990,0,BENIGN
4171,8820,0,BENIGN
4,3160,0,BENIGN
646,6740,0,BENIGN
118,5457,0,ANOMALY
2929,3063,0,BENIGN
2552,2977,0,BENIGN
4290,9567,0,BENIGN
847,9933,0,BENIGN
2763,3667,0,BENIGN
1142,5919,0,BENIGN
1811,9609,0,BENIGN
724,8642,0,BENIGN
225,9798,0,BENIGN
4628,9759,0,BENIGN
4209,1543,0,BENIGN
4655,1883,0,BENIGN
2049,5798,0,BENIGN
4750,9040,0,BENIGN
4416,6718,0,BENIGN
1574,3068,0,BENIGN
1829,8478,0,BENIGN
1918,9120,0,BENIGN
4235,8820,0,BENIGN
2027,2786,0,BENIGN
3745,6715,0,BENIGN
902,9269,0,BENIGN
4786,2308,1,BENIGN
2040,9839,0,ANOMALY
10,9744,0,BENIGN
261,9473,0,BENIGN
1674,5861,0,BENIGN
2220,3776,0,BENIGN
2061,2596,0,BENIGN
3714,1479,0,BENIGN
1620,4312,0,ANOMALY
321,7156,0,BENIGN
1343,8919,0,BENIGN
2377,7744,0,BENIGN
2833,4898,1,BENIGN
2825,3072,0,BENIGN
1995,6624,0,BENIGN
2959,1938,0,BENIGN
2039,9176,0,BENIGN
3491,1761,0,BENIGN
3678,8254,0,BENIGN
1119,2669,0,ANOMALY
1605,8128,0,BENIGN
4028,4862,0,ANOMALY
236,3685,0,BENIGN
1970,7634,0,ANOMALY
4430,2931,1,BENIGN
1909,8308,0,ANOMALY
376,4939,0,BENIGN
3531,2126,0,BENIGN
2636,7021,0,BENIGN
1571,7437,0,BENIGN
2561,8039,0,BENIGN
3392,6373,0,ANOMALY
2966,2203,0,BENIGN
3644,5135,0,BENIGN
3851,9711,0,ANOMALY
873,8904,0,BENIGN
1253,3283,0,ANOMALY
1315,5558,0,ANOMALY
4821,6347,0,BENIGN
2899,8867,0,BENIGN
78,6944,0,ANOMALY
2622,9674,0,BENIGN
4228,3477,0,BENIGN
601,4093,0,BENIGN
1066,9534,0,BENIGN
2137,8207,0,BENIGN
2450,7227,0,BENIGN
2344,4535,0,BENIGN
1864,8004,0,BENIGN
1319,3913,0,BENIGN
4712,3340,0,BENIGN
3598,6289,0,BENIGN
3763,1597,1,BENIGN
4671,9836,0,BENIGN
2191,8145,0,BENIGN
993,3902,0,BENIGN
2713,7645,0,BENIGN
2193,9955,0,BENIGN
1249,8694,0,BENIGN
3055,5830,0,BENIGN
4599,8546,0,BENIGN
4034,8368,0,BENIGN
1998,3160,0,BENIGN
4917,6878,0,BENIGN
3688,8663,0,BENIGN
2152,4749,0,ANOMALY
4019,3922,0,BENIGN
3111,7486,0,BENIGN
1971,9112,0,BENIGN
198,9771,0,BENIGN
2627,4804,0,BENIGN
1203,5878,0,BENIGN
2036,3368,0,ANOMALY
478,9093,0,BENIGN
1255,4932,0,BENIGN
923,6608,0,BENIGN
420,7635,0,BENIGN
2205,7395,0,BENIGN
2598,7101,0,BENIGN
1121,6531,1,BENIGN
3069,5970,0,BENIGN
951,7344,0,BENIGN
2337,9408,0,BENIGN
2244,1375,0,BENIGN
2646,8887,0,BENIGN
1858,2609,0,BENIGN
4613,3939,1,BENIGN
1866,5062,0,BENIGN
2913,2613,0,BENIGN
2854,7578,0,BENIGN
4911,8851,0,BENIGN
3229,4679,0,BENIGN
3720,8540,0,ANOMALY
3229,8074,0,BENIGN
2372,4996,0,BENIGN
2892,5786,0,BENIGN
3757,6695,0,ANOMALY
4226,7998,0,ANOMALY
95,3366,0,BENIGN
2675,7764,0,BENIGN
1956,9976,0,BENIGN
794,2614,0,BENIGN
1835,5555,0,BENIGN
2117,3416,0,BENIGN
4107,8288,0,BENIGN
3326,7862,0,BENIGN
2920,4653,0,BENIGN
2598,7639,0,BENIGN
3206,1496,0,BENIGN
4808,1504,0,BENIGN
815,8699,1,BENIGN
346,6733,0,BENIGN
2350,9055,0,BENIGN
363,4216,0,BENIGN
2444,6688,0,BENIGN
2266,5364,0,BENIGN
2189,7042,1,BENIGN
3006,2477,0,ANOMALY
3282,5960,0,BENIGN
985,3397,0,BENIGN
1640,9301,0,BENIGN
828,9841,0,BENIGN
2731,7194,0,BENIGN
3532,8570,0,BENIGN
4452,8730,0,BENIGN
2936,2499,0,BENIGN
3877,8235,0,BENIGN
127,1595,0,BENIGN
3178,1978,0,ANOMALY
3057,1730,0,ANOMALY
604,1056,0,BENIGN
3450,3243,0,BENIGN
4147,6879,0,BENIGN
3534,2701,0,BENIGN
3368,8229,0,ANOMALY
3369,2286,0,BENIGN
3798,9303,0,ANOMALY
1793,1947,0,BENIGN
2862,5121,0,BENIGN
3477,7553,0,BENIGN
3418,1757,0,BENIGN
1646,6651,0,BENIGN
1206,8273,0,BENIGN
3031,4535,0,BENIGN
2873,3293,0,BENIGN
3073,2104,0,ANOMALY
1855,9853,0,BENIGN
4022,1908,0,BENIGN
4663,7539,0,BENIGN
2709,5617,0,ANOMALY
3503,8069,0,ANOMALY
1333,3311,0,BENIGN
202,1789,0,BENIGN
3508,1171,0,BENIGN
4213,8989,0,BENIGN
575,2885,1,ANOMALY
537,9667,0,BENIGN
